SystemId,Metervalue,MeterDate
7497,3492918,2021-07-27T00:59:59
72573,2110321,2021-07-27T00:59:59
50989,1752290,2021-07-27T00:59:59
21834,1677596,2021-07-27T00:59:59
81404,1578300,2021-07-27T00:59:59
71982,1231347,2021-07-27T00:59:59
7411,990138,2021-07-27T00:59:59
71981,988618,2021-07-27T00:59:59
13383,869804,2021-07-27T00:59:59
92319,840150,2021-07-27T00:59:59
52775,824122,2021-07-27T00:59:59
76210,746776,2021-07-27T00:59:59
63250,749670,2021-07-27T00:59:59
18814,723453,2021-07-27T00:59:59
25754,345407,2021-07-27T00:59:59
72566,686853,2021-07-27T00:59:59
90497,664384,2021-07-27T00:59:59
92492,624526,2021-07-27T00:59:59
67442,446929,2021-07-27T00:59:59
50971,442484,2021-07-27T00:59:59
49487,430845,2021-07-27T00:59:59
4820,387362,2021-07-27T00:59:59
14763,383532,2021-07-27T00:59:59
9035,374614,2021-07-27T00:59:59
61502,336320,2021-07-27T00:59:59
55145,323883,2021-07-27T00:59:59
51073,315552,2021-07-27T00:59:59
50923,297106,2021-07-27T00:59:59
89090,294116,2021-07-27T00:59:59
72812,236598,2021-07-27T00:59:59
87025,221843,2021-07-27T00:59:59
13370,217821,2021-07-27T00:59:59
13387,213078,2021-07-27T00:59:59
15944,206870,2021-07-27T00:59:59
15118,205597,2021-07-27T00:59:59
68801,174164,2021-07-27T00:59:59
13368,172383,2021-07-27T00:59:59
36431,162196,2021-07-27T00:59:59
26636,154059,2021-07-27T00:59:59
76228,146033,2021-07-27T00:59:59
68079,135744,2021-07-27T00:59:59
67251,134973,2021-07-27T00:59:59
66483,125642,2021-07-27T00:59:59
71131,125017,2021-07-27T00:59:59
76515,125329,2021-07-27T00:59:59
67610,125271,2021-07-27T00:59:59
68256,124046,2021-07-27T00:59:59
54167,122760,2021-07-27T00:59:59
17357,112208,2021-07-27T00:59:59
76826,112920,2021-07-27T00:59:59
57254,111321,2021-07-27T00:59:59
53839,108062,2021-07-27T00:59:59
75631,97852,2021-07-27T00:59:59
76290,97098,2021-07-27T00:59:59
89731,89313,2021-07-27T00:59:59
88266,72715,2021-07-27T00:59:59
9766,67638,2021-07-27T00:59:59
13252,63555,2021-07-27T00:59:59
67869,63103,2021-07-27T00:59:59
95881,60122,2021-07-27T00:59:59
68882,57598,2021-07-27T00:59:59
91536,42968,2021-07-27T00:59:59
95605,36779,2021-07-27T00:59:59
97315,20877,2021-07-27T00:59:59
50930,26139,2021-07-27T00:59:59
93919,11313,2021-07-27T00:59:59
47208,3383,2021-07-27T00:59:59
13837,1890,2021-07-27T00:59:59
17961,1450,2021-07-27T00:59:59
